ZoneNumber,day_of_week,hour_of_day,avg_active_cars
0303,7,13,9.4
0303,7,14,13
0303,7,15,10.8
0303,7,16,5.6
0303,7,17,4.8
0303,7,18,3
0303,7,19,2.5
0303,7,20,1.67
0304,1,8,15.5
0304,1,9,15
0304,1,10,16.75
0304,1,11,20.25
0304,1,12,16.25
0304,1,13,15.75
0304,1,14,21.75
0304,1,15,11.25
0304,1,16,7.75
0304,1,17,7.25
0304,1,18,5
0304,1,19,3.33
0304,1,20,1
0304,2,8,15.25
0304,2,9,12.5
0304,2,10,18
0304,2,11,16.5
0304,2,12,13.25
0304,2,13,14.25
0304,2,14,17.75
0304,2,15,13.25
0304,2,16,8.5
0304,2,17,5.25
0304,2,18,3.75
0304,2,19,1.75
0304,2,20,2
0304,3,8,14.75
0304,3,9,15.5
0304,3,10,17
0304,3,11,15.75
0304,3,12,19
0304,3,13,19.25
0304,3,14,18.25
0304,3,15,12.25
0304,3,16,9.25
0304,3,17,7.25
0304,3,18,5
0304,3,19,4
0304,3,20,1.5
0304,4,8,14.25
0304,4,9,13.75
0304,4,10,15.5
0304,4,11,18
0304,4,12,17
0304,4,13,15
0304,4,14,17.5
0304,4,15,8.75
0304,4,16,6.25
0304,4,17,4
0304,4,18,4.75
0304,4,19,2.5
0304,4,20,3.5
0304,5,8,14.4
0304,5,9,14.6
0304,5,10,18.2
0304,5,11,18.4
0304,5,12,15.8
0304,5,13,12.4
0304,5,14,16
0304,5,15,12.8
0304,5,16,8.6
0304,5,17,4.6
0304,5,18,4.8
0304,5,19,3.2
0304,5,20,2.2
0304,6,8,3.5
0304,6,9,3.2
0304,6,10,4
0304,6,11,6.8
0304,6,12,6.8
0304,6,13,4.6
0304,6,14,5.8
0304,6,15,4.4
0304,6,16,4
0304,6,17,5.2
0304,6,18,4.6
0304,6,19,2.75
0304,6,20,1.75
0304,7,8,3.25
0304,7,9,3.4
0304,7,10,5
0304,7,11,7
0304,7,12,5.6
0304,7,13,6.8
0304,7,14,6.2
0304,7,15,6
0304,7,16,5.6
0304,7,17,4.75
0304,7,18,1.75
0304,7,19,1
0304,7,20,1.5
0305,1,8,11.5
0305,1,9,11.5
0305,1,10,12.5
0305,1,11,11
0305,1,12,13.5
0305,1,13,11
0305,1,14,10
0305,1,15,7
0305,1,16,4.25
0305,1,17,1.75
0305,1,18,1.5
0305,1,19,2.33
0305,2,8,13.5
0305,2,9,16.5
0305,2,10,13.75
0305,2,11,11.25
0305,2,12,10.5
0305,2,13,10.75
0305,2,14,8.5
0305,2,15,9.5
0305,2,16,4.25
0305,2,17,2.75
0305,2,18,2
0305,2,19,2
0305,2,20,1
0305,3,8,13
0305,3,9,13.25
0305,3,10,15.75
0305,3,11,12.75
0305,3,12,11.25
0305,3,13,11
0305,3,14,11.75
0305,3,15,10.75
0305,3,16,7
0305,3,17,4.75
0305,3,18,2.5
0305,3,19,1.67
0305,3,20,1.5
0305,4,8,12.25
0305,4,9,12.25
0305,4,10,15.5
0305,4,11,14.75
0305,4,12,13.75
0305,4,13,13
0305,4,14,8.5
0305,4,15,6.75
0305,4,16,4.75
0305,4,17,2.5
0305,4,18,3.67
0305,4,19,1
0305,4,20,1
0305,5,8,7.4
0305,5,9,8
0305,5,10,11
0305,5,11,10
0305,5,12,12.2
0305,5,13,6.8
0305,5,14,6.6
0305,5,15,5.2
0305,5,16,2.8
0305,5,17,2.8
0305,5,18,1.2
0305,5,19,1.5
0305,5,20,1
0305,6,8,2.8
0305,6,9,3
0305,6,10,3.6
0305,6,11,2.4
0305,6,12,4
0305,6,13,4.4
0305,6,14,3.2
0305,6,15,4
0305,6,16,2.4
0305,6,17,3
0305,6,18,1
0305,6,19,2
0305,6,20,1
0305,7,8,1.67
0305,7,9,2.4
0305,7,10,4.6
0305,7,11,5
0305,7,12,3.8
0305,7,13,4.6
0305,7,14,3.5
0305,7,15,2.8
0305,7,16,1.8
0305,7,17,1.6
0305,7,18,1
0305,7,19,1
0305,7,20,1.6
0306,1,8,9.25
0306,1,9,15.25
0306,1,10,16
0306,1,11,14.75
0306,1,12,16.75
0306,1,13,12.5
0306,1,14,9.5
0306,1,15,4.5
0306,1,16,3.75
0306,1,17,3.33
0306,1,18,3
0306,1,19,1.33
0306,1,20,2.67
0306,2,8,17.75
0306,2,9,17.75
0306,2,10,17.75
0306,2,11,19.5
0306,2,12,13.25
0306,2,13,10.5
0306,2,14,12
0306,2,15,5.25
0306,2,16,3.5
0306,2,17,4
0306,2,18,4.75
0306,2,19,2.25
0306,2,20,1.5
0306,3,8,13.5
0306,3,9,17
0306,3,10,18.75
0306,3,11,17.25
0306,3,12,18.25
0306,3,13,10
0306,3,14,8.25
0306,3,15,6.75
0306,3,16,5.5
0306,3,17,3
0306,3,18,1.33
0306,3,19,1.75
0306,3,20,2
0306,4,8,12.5
0306,4,9,16
0306,4,10,13
0306,4,11,14
0306,4,12,13.5
0306,4,13,11
0306,4,14,7.25
0306,4,15,5
0306,4,16,3.5
0306,4,17,2.5
0306,4,18,2.5
0306,4,19,2
0306,4,20,1.5
0306,5,8,11
0306,5,9,14.2
0306,5,10,14.4
0306,5,11,14
0306,5,12,10.4
0306,5,13,12.4
0306,5,14,8.2
0306,5,15,5.2
0306,5,16,4.8
0306,5,17,4
0306,5,18,4.2
0306,5,19,2.2
0306,5,20,1.67
0306,6,8,3
0306,6,9,3.67
0306,6,10,4.2
0306,6,11,4.8
0306,6,12,4.6
0306,6,13,4.6
0306,6,14,4
0306,6,15,4.2
0306,6,16,1.75
0306,6,17,1.2
0306,6,18,2
0306,6,19,2.67
0306,6,20,1.8
0306,7,8,2.2
0306,7,9,4.2
0306,7,10,3.25
0306,7,11,4.2
0306,7,12,4.4
0306,7,13,3.6
0306,7,14,2.4
0306,7,15,2.4
0306,7,16,2
0306,7,17,2
0306,7,18,2.75
0306,7,19,1
0306,7,20,2
0307,1,8,9.5
0307,1,9,12.25
0307,1,10,10.25
0307,1,11,12
0307,1,12,11.75
0307,1,13,12.25
0307,1,14,13.5
0307,1,15,8.25
0307,1,16,5.5
0307,1,17,4
0307,1,18,2.25
0307,1,19,4
0307,1,20,2
0307,2,8,9.25
0307,2,9,12.25
0307,2,10,16
0307,2,11,12
0307,2,12,10.25
0307,2,13,12.5
0307,2,14,7.25
0307,2,15,7.75
0307,2,16,6
0307,2,17,5.25
0307,2,18,4.25
0307,2,19,3.25
0307,2,20,2
0307,3,8,6.5
0307,3,9,6.5
0307,3,10,9.5
0307,3,11,14
0307,3,12,13.75
0307,3,13,9
0307,3,14,11.5
0307,3,15,8.5
0307,3,16,7.25
0307,3,17,5.5
0307,3,18,4.25
0307,3,19,2.75
0307,3,20,1.5
0307,4,8,11.75
0307,4,9,14
0307,4,10,17.25
0307,4,11,15
0307,4,12,12.5
0307,4,13,13.5
0307,4,14,11.25
0307,4,15,9
0307,4,16,5.5
0307,4,17,3.25
0307,4,18,3
0307,4,19,2.75
0307,4,20,1.33
0307,5,8,7.8
0307,5,9,10.6
0307,5,10,11
0307,5,11,10.2
0307,5,12,8.4
0307,5,13,9.8
0307,5,14,8
0307,5,15,7.6
0307,5,16,5.4
0307,5,17,5.8
0307,5,18,4.4
0307,5,19,2.67
0307,5,20,3.5
0307,6,8,4.2
0307,6,9,4.6
0307,6,10,4.2
0307,6,11,5.4
0307,6,12,6
0307,6,13,5.6
0307,6,14,5
0307,6,15,5.2
0307,6,16,5.4
0307,6,17,4
0307,6,18,3
0307,6,19,2
0307,6,20,2
0307,7,8,4
0307,7,9,3.4
0307,7,10,4.4
0307,7,11,5
0307,7,12,4.8
0307,7,13,4.6
0307,7,14,5.6
0307,7,15,5
0307,7,16,3.2
0307,7,17,2.6
0307,7,18,2
0307,7,19,2.5
0307,7,20,1.75
0308,1,8,5.75
0308,1,9,9
0308,1,10,9
0308,1,11,9.25
0308,1,12,7.5
0308,1,13,7.75
0308,1,14,3.5
0308,1,15,4
0308,1,16,3.5
0308,1,17,1.33
0308,1,18,1
0308,1,19,1
0308,1,20,1
0308,2,8,8.5
0308,2,9,9.25
0308,2,10,9
0308,2,11,6.75
0308,2,12,8.5
0308,2,13,6.5
0308,2,14,5
0308,2,15,4.67
0308,2,16,2.25
0308,2,17,2.5
0308,2,18,1.5
0308,2,19,2
0308,2,20,2
0308,3,8,10
0308,3,9,9.75
0308,3,10,9
0308,3,11,9
0308,3,12,9.25
0308,3,13,6
0308,3,14,6.5
0308,3,15,2.5
0308,3,16,2.5
0308,3,17,1.67
0308,3,18,1.5
0308,3,19,1
0308,4,8,10
0308,4,9,8.75
0308,4,10,10
0308,4,11,10
0308,4,12,9
0308,4,13,8.5
0308,4,14,6.5
0308,4,15,4
0308,4,16,2
0308,4,17,2
0308,4,18,1.25
0308,4,19,1.5
0308,4,20,2
0308,5,8,7.6
0308,5,9,8
0308,5,10,5.8
0308,5,11,6.2
0308,5,12,6.6
0308,5,13,5.8
0308,5,14,4.6
0308,5,15,5.67
0308,5,16,4.25
0308,5,17,3
0308,5,18,1.67
0308,5,19,1
0308,5,20,1
0308,6,8,2.5
0308,6,9,3.4
0308,6,10,3.25
0308,6,11,5.2
0308,6,12,4.4
0308,6,13,3.4
0308,6,14,2
0308,6,15,2
0308,6,16,2
0308,6,17,3.5
0308,6,18,1
0308,6,20,1
0308,7,8,1.8
0308,7,9,2.4
0308,7,10,2.6
0308,7,11,4
0308,7,12,2.8
0308,7,13,2.6
0308,7,14,2.5
0308,7,15,1.67
0308,7,16,1.25
0308,7,17,1
0308,7,18,1
0308,7,19,1
0308,7,20,1
0309,1,8,11
0309,1,9,7.75
0309,1,10,11.75
0309,1,11,13.5
0309,1,12,14.75
0309,1,13,15.25
0309,1,14,11.5
0309,1,15,8
0309,1,16,5.5
0309,1,17,5.5
0309,1,18,5
0309,1,19,3
0309,1,20,1.67
0309,2,8,13.25
0309,2,9,11.75
0309,2,10,13.25
0309,2,11,11.25
0309,2,12,7.5
0309,2,13,12.75
0309,2,14,8
0309,2,15,4.75
0309,2,16,5.5
0309,2,17,4.5
0309,2,18,4
0309,2,19,3
0309,2,20,1
0309,3,8,15
0309,3,9,14
0309,3,10,12
0309,3,11,16.25
0309,3,12,12.25
0309,3,13,13
0309,3,14,11.5
0309,3,15,10
0309,3,16,5.75
0309,3,17,5.5
0309,3,18,4.67
0309,3,19,3
0309,3,20,1.33
0309,4,8,12.5
0309,4,9,12.5
0309,4,10,12.5
0309,4,11,10.25
0309,4,12,13.25
0309,4,13,8.75
0309,4,14,7.75
0309,4,15,9.75
0309,4,16,5.75
0309,4,17,6
0309,4,18,5.25
0309,4,19,3.5
0309,4,20,1.33
0309,5,8,9.6
0309,5,9,11.2
0309,5,10,14.2
0309,5,11,15
0309,5,12,12.6
0309,5,13,11.6
0309,5,14,7.8
0309,5,15,6.6
0309,5,16,5.4
0309,5,17,2.6
0309,5,18,2.8
0309,5,19,1.6
0309,5,20,1.5
0309,6,8,2.5
0309,6,9,2.4
0309,6,10,3
0309,6,11,5.4
0309,6,12,6
0309,6,13,4.6
0309,6,14,3.6
0309,6,15,3
0309,6,16,3
0309,6,17,1.75
0309,6,18,2.25
0309,6,19,2.67
0309,6,20,2
0309,7,8,3
0309,7,9,3
0309,7,10,4
0309,7,11,6
0309,7,12,4.8
0309,7,13,4.2
0309,7,14,3.8
0309,7,15,3.2
0309,7,16,2.5
0309,7,17,1.2
0309,7,18,1.67
